cohort,age_band,bin,rank,feature,feature_type,combined_importance,shap_norm,ffa_norm,is_top20,is_pt_like
opioid_ed,75_84,low,35,item_cpt_97110,cpt,0.0076194388670563,0.014435086477055,0.0008037912570575,False,True
opioid_ed,75_84,low,68,item_cpt_97597,cpt,0.0034872445646464,0.0065919044320994,0.0003825846971935,False,True
opioid_ed,75_84,low,72,item_cpt_97001,cpt,0.0033550674355858,0.0065152073914175,0.000194927479754,False,True
opioid_ed,75_84,low,79,item_cpt_97112,cpt,0.0029766991451634,0.0058034462743067,0.0001499520160202,False,True
opioid_ed,75_84,low,87,item_cpt_97140,cpt,0.0026773768593416,0.0052415770426679,0.0001131766760153,False,True
opioid_ed,75_84,low,197,item_cpt_97162,cpt,0.0004672915647625,0.0009258438521166,8.739277408473953e-06,False,True
opioid_ed,75_84,low,217,item_cpt_97530,cpt,0.0003878313599136,0.0007705448619163,5.117857910873857e-06,False,True
opioid_ed,75_84,low,320,item_cpt_97150,cpt,9.732170133208678e-05,0.0001937988802107,8.445224534113007e-07,False,True
opioid_ed,75_84,low,364,item_cpt_97116,cpt,6.645137077585563e-05,0.0001325720193876,3.307221641017745e-07,False,True
opioid_ed,75_84,low,390,item_cpt_97161,cpt,4.862270604167328e-05,9.708683458806348e-05,1.585774952830981e-07,False,True
opioid_ed,75_84,low,410,item_cpt_97535,cpt,3.795740982710197e-05,7.586119530808643e-05,5.362434611751749e-08,False,True
opioid_ed,75_84,medium,27,item_cpt_97110,cpt,0.0140565082258723,0.0266303721658805,0.0014826442858642,False,True
opioid_ed,75_84,medium,41,item_cpt_97597,cpt,0.0087987711617981,0.0166329812414476,0.0009645610821486,False,True
opioid_ed,75_84,medium,57,item_cpt_97112,cpt,0.0071605233117943,0.0139606313652573,0.0003604152583313,False,True
opioid_ed,75_84,medium,59,item_cpt_97001,cpt,0.0067934644266075,0.0131924176835456,0.0003945111696695,False,True
opioid_ed,75_84,medium,80,item_cpt_97140,cpt,0.0048571291967268,0.0095090098080899,0.0002052485853636,False,True
opioid_ed,75_84,medium,96,item_cpt_97162,cpt,0.0036103648643679,0.0071540018295863,6.672789914949084e-05,False,True
opioid_ed,75_84,medium,195,item_cpt_97530,cpt,0.0008817333253251,0.0017518919415494,1.157470910078984e-05,False,True
opioid_ed,75_84,medium,239,item_cpt_97150,cpt,0.0005172554097874,0.0010302227557146,4.288063860319769e-06,False,True
opioid_ed,75_84,medium,250,item_cpt_97116,cpt,0.0004774071565569,0.0009525938197907,2.220493323064776e-06,False,True
opioid_ed,75_84,medium,306,item_cpt_97535,cpt,0.0002812486683725,0.0005621234337911,3.739029540185195e-07,False,True
opioid_ed,75_84,medium,315,item_cpt_97161,cpt,0.0002550990411959,0.0005094241325418,7.739498500875156e-07,False,True
opioid_ed,75_84,extreme,29,item_cpt_97110,cpt,0.0112488880045746,0.021319738324315,0.0011780376848341,False,True
opioid_ed,75_84,extreme,40,item_cpt_97001,cpt,0.0086682946742763,0.016837251262282,0.0004993380862707,False,True
opioid_ed,75_84,extreme,53,item_cpt_97597,cpt,0.0061660911869203,0.01166113578451,0.0006710465893305,False,True
opioid_ed,75_84,extreme,58,item_cpt_97112,cpt,0.0057235585916058,0.0111612496247279,0.0002858675584836,False,True
opioid_ed,75_84,extreme,116,item_cpt_97140,cpt,0.0025680799044062,0.0050284524249786,0.0001077073838338,False,True
opioid_ed,75_84,extreme,140,item_cpt_97162,cpt,0.0020426830509135,0.0040479115615663,3.745454026077919e-05,False,True
opioid_ed,75_84,extreme,160,item_cpt_97530,cpt,0.0015937141166644,0.0031668540140888,2.0574219240143336e-05,False,True
opioid_ed,75_84,extreme,287,item_cpt_97535,cpt,0.0004280904313929,0.0008556254794101,5.553833757239213e-07,False,True
opioid_ed,75_84,extreme,315,item_cpt_97150,cpt,0.0003380676361325,0.0006733749214178,2.760350847305613e-06,False,True
opioid_ed,75_84,extreme,318,item_cpt_97116,cpt,0.0003336928257121,0.0006658591747091,1.5264767151144075e-06,False,True
opioid_ed,75_84,extreme,373,item_cpt_97161,cpt,0.0001866895556615,0.000372826810193,5.523011301303423e-07,False,True
opioid_ed,75_84,high,32,item_cpt_97110,cpt,0.0089691946060312,0.0169983040126277,0.0009400851994348,False,True
opioid_ed,75_84,high,44,item_cpt_97001,cpt,0.0064298281494395,0.012488817365133,0.000370838933746,False,True
opioid_ed,75_84,high,54,item_cpt_97597,cpt,0.0048480959373367,0.0091677505430058,0.0005284413316676,False,True
opioid_ed,75_84,high,67,item_cpt_97112,cpt,0.0041027017876556,0.0080000960167691,0.000205307558542,False,True
opioid_ed,75_84,high,94,item_cpt_97140,cpt,0.0030662072505448,0.0060035777721737,0.000128836728916,False,True
opioid_ed,75_84,high,146,item_cpt_97162,cpt,0.0014569566247072,0.0028870562848687,2.685696454582452e-05,False,True
opioid_ed,75_84,high,201,item_cpt_97530,cpt,0.0007934566709269,0.0015765593021341,1.0354039719721738e-05,False,True
opioid_ed,75_84,high,296,item_cpt_97150,cpt,0.000309844497167,0.0006171061103555,2.5828839784736684e-06,False,True
opioid_ed,75_84,high,301,item_cpt_97535,cpt,0.0002870756025783,0.0005737736897917,3.775153649316053e-07,False,True
opioid_ed,75_84,high,348,item_cpt_97116,cpt,0.0001729808796388,0.0003451360611541,8.25698123482257e-07,False,True
opioid_ed,75_84,high,391,item_cpt_97161,cpt,0.0001255875468327,0.0002507850845834,3.900090820510197e-07,False,True
opioid_ed,65_74,low,27,item_cpt_97140,cpt,0.0182714579441052,0.033564647380146,0.0029782685080644,False,True
opioid_ed,65_74,low,28,item_cpt_97112,cpt,0.0176916515928839,0.032019237302536,0.0033640658832317,False,True
opioid_ed,65_74,low,52,item_cpt_97162,cpt,0.0106798220413075,0.0199695631893893,0.0013900808932257,False,True
opioid_ed,65_74,low,55,item_cpt_97110,cpt,0.0101547898754314,0.0187695610810564,0.0015400186698064,False,True
opioid_ed,65_74,low,94,item_cpt_97530,cpt,0.0053896344693945,0.0105247506562364,0.0002545182825525,False,True
opioid_ed,65_74,low,106,item_cpt_97150,cpt,0.0041253562412948,0.0079643659543164,0.0002863465282732,False,True
opioid_ed,65_74,low,128,item_cpt_97001,cpt,0.002638272335863,0.0050668528373523,0.0002096918343738,False,True
opioid_ed,65_74,low,225,item_cpt_97035,cpt,0.0003216987477378,0.0006405599812225,2.837514253147212e-06,False,True
opioid_ed,65_74,low,294,item_cpt_97535,cpt,8.208121328926594e-05,0.000164046085503,1.1634107546939305e-07,False,True
opioid_ed,65_74,medium,20,item_cpt_97112,cpt,0.0284491137861726,0.0514880730620111,0.0054101545103342,True,True
opioid_ed,65_74,medium,24,item_cpt_97140,cpt,0.0257955786144262,0.0473854619471028,0.0042056952817495,False,True
opioid_ed,65_74,medium,49,item_cpt_97162,cpt,0.0167219167787319,0.0312668155039923,0.0021770180534716,False,True
opioid_ed,65_74,medium,58,item_cpt_97110,cpt,0.014098243556736,0.0260574115346129,0.0021390755788591,False,True
opioid_ed,65_74,medium,90,item_cpt_97530,cpt,0.0081831897657072,0.0159797180947379,0.0003866614366764,False,True
opioid_ed,65_74,medium,106,item_cpt_97150,cpt,0.0063335269128908,0.0122271216251799,0.0004399322006018,False,True
opioid_ed,65_74,medium,112,item_cpt_97001,cpt,0.0057211529120863,0.0109879990939174,0.0004543067302551,False,True
opioid_ed,65_74,medium,225,item_cpt_97035,cpt,0.0005342151544904,0.0010636985534018,4.731755579115508e-06,False,True
opioid_ed,65_74,medium,301,item_cpt_97535,cpt,0.0001345297631176,0.000268868850158,1.9067607731188203e-07,False,True
opioid_ed,65_74,extreme,17,item_cpt_97112,cpt,0.1050627565208039,0.1901594014692827,0.0199661115723252,True,True
opioid_ed,65_74,extreme,27,item_cpt_97162,cpt,0.0870839673743929,0.1628454288252803,0.0113225059235056,False,True
opioid_ed,65_74,extreme,39,item_cpt_97140,cpt,0.0698435737509329,0.1283068685580616,0.0113802789438043,False,True
opioid_ed,65_74,extreme,78,item_cpt_97530,cpt,0.0350745073699104,0.0684957653051187,0.0016532494347021,False,True
opioid_ed,65_74,extreme,87,item_cpt_97110,cpt,0.0307140913805468,0.0567721434258708,0.0046560393352228,False,True
opioid_ed,65_74,extreme,94,item_cpt_97001,cpt,0.0288899774347403,0.0554944371345784,0.0022855177349023,False,True
