cohort,age_band,bin,rank,feature,feature_type,combined_importance,shap_norm,ffa_norm,is_top20,is_pt_like
non_opioid_ed,45_54,low,1,pgx_num_drugs,pgx,0.999999999832094,0.9999999998723316,0.999999999791856,True,False
non_opioid_ed,45_54,low,2,pgx_num_cpic_drugs,pgx,0.0199326076567459,0.0330261840866889,0.0068390312268028,True,False
non_opioid_ed,45_54,low,3,item_drug_IBUPROFEN,drug,0.0130324002147254,0.0238489565719565,0.0022158438574943,True,False
non_opioid_ed,45_54,low,4,item_drug_AZITHROMYCIN,drug,0.0110873260650833,0.0205267679971628,0.0016478841330039,True,False
non_opioid_ed,45_54,low,5,item_drug_LISINOPRIL,drug,0.0109797797578634,0.0201795971427616,0.0017799623729652,True,False
non_opioid_ed,45_54,low,6,item_drug_ERYTHROMYCIN,drug,0.0102741693702154,0.0189230003259289,0.0016253384145019,True,False
non_opioid_ed,45_54,low,7,item_drug_KETOCONAZOLE,drug,0.0064515048464032,0.0123236404981799,0.0005793691946266,True,False
non_opioid_ed,45_54,low,8,item_drug_AMOXICILLIN,drug,0.0043611653118328,0.0081809576070643,0.0005413730166013,True,False
non_opioid_ed,45_54,low,9,item_drug_METRONIDAZOLE,drug,0.0041494489175373,0.0079125494939962,0.0003863483410785,True,False
non_opioid_ed,45_54,low,10,item_drug_PREDNISONE,drug,0.003690587966102,0.0072063650151679,0.0001748109170361,True,False
non_opioid_ed,45_54,low,11,item_drug_HYDROCHLOROTHIAZIDE,drug,0.0033244056599154,0.0064621108208663,0.0001867004989644,True,False
non_opioid_ed,45_54,low,12,item_drug_SIMVASTATIN,drug,0.0030564330919019,0.0059644183707043,0.0001484478130994,True,False
non_opioid_ed,45_54,low,13,item_drug_OMEPRAZOLE,drug,0.0025534919996892,0.0049499506760773,0.0001570333233011,True,False
non_opioid_ed,45_54,low,14,item_drug_GABAPENTIN,drug,0.0021834111616464,0.0042697450236113,9.70772996816184e-05,True,False
non_opioid_ed,45_54,low,15,item_drug_ALPRAZOLAM,drug,0.001544907457354,0.0030434274336884,4.638748101967181e-05,True,False
non_opioid_ed,45_54,low,16,item_drug_NAPROXEN,drug,0.0009176883310677,0.0018004049994231,3.497166271245253e-05,True,False
non_opioid_ed,45_54,low,17,item_drug_MUPIROCIN,drug,0.0008508234074617,0.0016838340567424,1.781275818102129e-05,True,False
non_opioid_ed,45_54,low,18,item_drug_ATENOLOL,drug,0.0007236496315746,0.0014129426206896,3.435664245960014e-05,True,False
non_opioid_ed,45_54,low,19,item_drug_CEPHALEXIN,drug,0.0007093039471048,0.0014020039090518,1.6603985157826783e-05,True,False
non_opioid_ed,45_54,low,20,item_drug_FENOFIBRATE,drug,0.0005912762619695,0.0011700236573435,1.252886659552317e-05,True,False
non_opioid_ed,45_54,medium,1,pgx_num_drugs,pgx,0.9999999998129911,0.9999999998341262,0.999999999791856,True,False
non_opioid_ed,45_54,medium,2,pgx_num_cpic_drugs,pgx,0.0328982703880835,0.0545077362077467,0.0112888045684203,True,False
non_opioid_ed,45_54,medium,3,item_drug_AZITHROMYCIN,drug,0.0234171297109404,0.0433534608992646,0.0034807985226161,True,False
non_opioid_ed,45_54,medium,4,item_drug_IBUPROFEN,drug,0.0212986766891212,0.038975438543808,0.0036219148344343,True,False
non_opioid_ed,45_54,medium,5,item_drug_LISINOPRIL,drug,0.0187189282066587,0.0344027363107782,0.0030351201025393,True,False
non_opioid_ed,45_54,medium,6,item_drug_AMOXICILLIN,drug,0.0113013622711109,0.0211996384324138,0.001403086109808,True,False
non_opioid_ed,45_54,medium,7,item_drug_ERYTHROMYCIN,drug,0.0107026758710457,0.0197114624152213,0.0016938893268701,True,False
non_opioid_ed,45_54,medium,8,item_drug_METRONIDAZOLE,drug,0.0089632651483228,0.0170917448980084,0.0008347853986373,True,False
non_opioid_ed,45_54,medium,9,item_drug_KETOCONAZOLE,drug,0.0068821943620893,0.0131459112784891,0.0006184774456895,True,False
non_opioid_ed,45_54,medium,10,item_drug_OMEPRAZOLE,drug,0.0042306169549147,0.0082008416898247,0.0002603922200047,True,False
non_opioid_ed,45_54,medium,11,item_drug_HYDROCHLOROTHIAZIDE,drug,0.0040461958234715,0.0078649022683588,0.0002274893785842,True,False
non_opioid_ed,45_54,medium,12,item_drug_PREDNISONE,drug,0.0038217209399263,0.0074621884569178,0.0001812534229348,True,False
non_opioid_ed,45_54,medium,13,item_drug_SIMVASTATIN,drug,0.0034396960818039,0.0067121015874665,0.0001672905761414,True,False
non_opioid_ed,45_54,medium,14,item_drug_ALPRAZOLAM,drug,0.0023567655919764,0.0046426509189407,7.088026501209191e-05,True,False
non_opioid_ed,45_54,medium,15,item_drug_ATENOLOL,drug,0.0022740609128267,0.0044401336053829,0.0001079882202705,True,False
non_opioid_ed,45_54,medium,16,item_drug_GABAPENTIN,drug,0.0020863664564737,0.0040797453001459,9.29876128015414e-05,True,False
non_opioid_ed,45_54,medium,17,item_drug_MUPIROCIN,drug,0.0018521424143654,0.0036654560884912,3.8828740239709205e-05,True,False
non_opioid_ed,45_54,medium,18,item_drug_NAPROXEN,drug,0.0017838674828016,0.0034996405550193,6.809441058401518e-05,True,False
non_opioid_ed,45_54,medium,19,item_drug_TOPIRAMATE,drug,0.0012273307005485,0.0024362063692307,1.8455031866403903e-05,True,False
non_opioid_ed,45_54,medium,20,item_drug_CLARITHROMYCIN,drug,0.001120131880065,0.0022054350580667,3.482870206342521e-05,True,False
non_opioid_ed,45_54,extreme,1,pgx_num_drugs,pgx,0.9999999998291368,0.9999999998664172,0.999999999791856,True,False
non_opioid_ed,45_54,extreme,2,item_drug_LISINOPRIL,drug,0.0242166321327958,0.044507777394361,0.0039254868712306,True,False
non_opioid_ed,45_54,extreme,3,pgx_num_cpic_drugs,pgx,0.0227336699293364,0.0376671872977338,0.007800152560939,True,False
non_opioid_ed,45_54,extreme,4,item_drug_AZITHROMYCIN,drug,0.0207577356936514,0.0384305012727342,0.0030849701145686,True,False
non_opioid_ed,45_54,extreme,5,item_drug_IBUPROFEN,drug,0.0200138658408266,0.0366249727542938,0.0034027589273595,True,False
non_opioid_ed,45_54,extreme,6,item_drug_AMOXICILLIN,drug,0.0124446210930634,0.0233448564998389,0.0015443856862878,True,False
non_opioid_ed,45_54,extreme,7,item_drug_OMEPRAZOLE,drug,0.0123284415207035,0.023899180154602,0.000757702886805,True,False
non_opioid_ed,45_54,extreme,8,item_drug_GABAPENTIN,drug,0.0112756535506474,0.0220503434610957,0.000500963640199,True,False
non_opioid_ed,45_54,extreme,9,item_drug_METRONIDAZOLE,drug,0.0101518422039559,0.0193587028422718,0.00094498156564,True,False
non_opioid_ed,45_54,extreme,10,item_drug_CLONAZEPAM,drug,0.0088230303845108,0.017444803389446,0.0002012573795757,True,False
non_opioid_ed,45_54,extreme,11,item_drug_KETOCONAZOLE,drug,0.0085710831021367,0.0163724708655369,0.0007696953387365,True,False
non_opioid_ed,45_54,extreme,12,item_drug_ERYTHROMYCIN,drug,0.0081342258215695,0.0149815012959142,0.0012869503472249,True,False
non_opioid_ed,45_54,extreme,13,item_drug_DIAZEPAM,drug,0.0058840204830685,0.011617577148996,0.000150463817141,True,False
non_opioid_ed,45_54,extreme,14,item_drug_PREDNISONE,drug,0.0056742744064376,0.011079808112135,0.0002687407007401,True,False
non_opioid_ed,45_54,extreme,15,item_drug_ATENOLOL,drug,0.005220940983045,0.0101946019601312,0.0002472800059587,True,False
non_opioid_ed,45_54,extreme,16,item_drug_ALPRAZOLAM,drug,0.0045146268216952,0.0088938030731898,0.0001354505702006,True,False
non_opioid_ed,45_54,extreme,17,item_drug_HYDROCHLOROTHIAZIDE,drug,0.0041440055327427,0.0080552837442768,0.0002327273212087,True,False
non_opioid_ed,45_54,extreme,18,item_drug_SIMVASTATIN,drug,0.0035120692780929,0.0068535530097976,0.0001705855463882,True,False
non_opioid_ed,45_54,extreme,19,item_drug_MUPIROCIN,drug,0.0030978422362415,0.0061309326324943,6.475183998876849e-05,True,False
non_opioid_ed,45_54,extreme,20,item_drug_CARVEDILOL,drug,0.0024559299388462,0.0048622149220721,4.964495562033053e-05,True,False
non_opioid_ed,45_54,high,1,pgx_num_drugs,pgx,0.9999999998116038,0.9999999998313516,0.999999999791856,True,False
non_opioid_ed,45_54,high,2,pgx_num_cpic_drugs,pgx,0.0350039223923436,0.0579963823014005,0.0120114624832866,True,False
non_opioid_ed,45_54,high,3,item_drug_AZITHROMYCIN,drug,0.026584864003848,0.0492180900270917,0.0039516379806042,True,False
non_opioid_ed,45_54,high,4,item_drug_IBUPROFEN,drug,0.025274776393671,0.0462515762039618,0.0042979765833802,True,False
non_opioid_ed,45_54,high,5,item_drug_LISINOPRIL,drug,0.0235810737033094,0.0433388381922553,0.0038233092143635,True,False
non_opioid_ed,45_54,high,6,item_drug_AMOXICILLIN,drug,0.01600959496354,0.0300318329565787,0.0019873569705013,True,False
non_opioid_ed,45_54,high,7,item_drug_METRONIDAZOLE,drug,0.011342833734671,0.0216293614106106,0.0010563060587314,True,False
non_opioid_ed,45_54,high,8,item_drug_ERYTHROMYCIN,drug,0.0106666654075963,0.0196450051306724,0.0016883256845201,True,False
non_opioid_ed,45_54,high,9,item_drug_OMEPRAZOLE,drug,0.0080790183040946,0.0156611227980865,0.0004969138101028,True,False
non_opioid_ed,45_54,high,10,item_drug_KETOCONAZOLE,drug,0.0075682205267235,0.0144563013881776,0.0006801396652694,True,False
non_opioid_ed,45_54,high,11,item_drug_GABAPENTIN,drug,0.0050710642746932,0.0099165285686981,0.0002255999806882,True,False
non_opioid_ed,45_54,high,12,item_drug_ATENOLOL,drug,0.0050430404472278,0.0098469712441513,0.0002391096503043,True,False
non_opioid_ed,45_54,high,13,item_drug_HYDROCHLOROTHIAZIDE,drug,0.0045592343553695,0.0088621380333699,0.000256330677369,True,False
non_opioid_ed,45_54,high,14,item_drug_PREDNISONE,drug,0.0045120679965572,0.0088101621858687,0.0002139738072457,True,False
non_opioid_ed,45_54,high,15,item_drug_ALPRAZOLAM,drug,0.0041924956730183,0.008259041016179,0.0001259503298576,True,False
non_opioid_ed,45_54,high,16,item_drug_SIMVASTATIN,drug,0.0040876602384704,0.0079765399697059,0.000198780507235,True,False
non_opioid_ed,45_54,high,17,item_drug_CLONAZEPAM,drug,0.0038593117601924,0.007630437259872,8.818626051297146e-05,True,False
non_opioid_ed,45_54,high,18,item_drug_DIAZEPAM,drug,0.0033425916321371,0.006599543926084,8.563933819027506e-05,True,False
non_opioid_ed,45_54,high,19,item_drug_MUPIROCIN,drug,0.0024979721423042,0.0049436099640065,5.2334320602035375e-05,True,False
non_opioid_ed,45_54,high,20,item_drug_NAPROXEN,drug,0.002384199566791,0.004677447172245,9.095196133711009e-05,True,False
non_opioid_ed,75_84,low,1,pgx_num_drugs,pgx,0.9999999998690904,0.999999999924453,0.9999999998137276,True,False
non_opioid_ed,75_84,low,2,pgx_num_cpic_drugs,pgx,0.0572033000014591,0.0878012999624947,0.0266053000404236,True,False
non_opioid_ed,75_84,low,3,item_drug_LISINOPRIL,drug,0.0151112889665443,0.0278255589191099,0.0023970190139787,True,False
non_opioid_ed,75_84,low,4,item_drug_SIMVASTATIN,drug,0.0150254667497506,0.0279909701086021,0.0020599633908991,True,False
non_opioid_ed,75_84,low,5,item_drug_AZITHROMYCIN,drug,0.013132265862522,0.0244139385513675,0.0018505931736766,True,False
non_opioid_ed,75_84,low,6,item_drug_LORAZEPAM,drug,0.0079478261855245,0.0149733431387293,0.0009223092323196,True,False
non_opioid_ed,75_84,low,7,item_drug_ALPRAZOLAM,drug,0.0065130787851312,0.0122911823830238,0.0007349751872387,True,False
non_opioid_ed,75_84,low,8,item_drug_LEVOFLOXACIN,drug,0.0050713081144249,0.0097726491365117,0.0003699670923381,True,False
non_opioid_ed,75_84,low,9,item_drug_FUROSEMIDE,drug,0.0047041375967234,0.0091111225127248,0.0002971526807221,True,False
non_opioid_ed,75_84,low,10,item_drug_OMEPRAZOLE,drug,0.004003686953162,0.0075880958060621,0.0004192781002619,True,False
non_opioid_ed,75_84,low,11,item_drug_ATENOLOL,drug,0.002497799834746,0.0049095731456181,8.602652387388124e-05,True,False
non_opioid_ed,75_84,low,12,item_drug_CEPHALEXIN,drug,0.0012684909848571,0.0024548948881123,8.208708160204001e-05,True,False
non_opioid_ed,75_84,low,13,item_drug_FINASTERIDE,drug,0.0006513434773042,0.0012925252750936,1.0161679514814674e-05,True,False
non_opioid_ed,75_84,low,14,item_drug_AMOXICILLIN,drug,0.0003737119967481,0.0007434601134384,3.9638800577421095e-06,True,False
non_opioid_ed,75_84,low,15,item_drug_PREDNISONE,drug,0.0001759975221574,0.0003514908986404,5.041456744897005e-07,True,False
non_opioid_ed,75_84,low,16,item_drug_GABAPENTIN,drug,0.0001410073457185,0.0002795807946388,2.433896798353169e-06,True,False
non_opioid_ed,75_84,low,17,item_drug_CLOPIDOGREL,drug,9.81660442768334e-05,0.0001954211969101,9.108916435120156e-07,True,False
non_opioid_ed,75_84,low,18,item_drug_HYDROCHLOROTHIAZIDE,drug,3.363689955135592e-05,6.712557279382576e-05,1.4822630888607378e-07,True,False
non_opioid_ed,75_84,medium,1,pgx_num_drugs,pgx,0.9999999998294972,0.9999999998452668,0.9999999998137276,True,False
non_opioid_ed,75_84,medium,2,pgx_num_cpic_drugs,pgx,0.0999100428197672,0.1533487491337383,0.046471336505796,True,False
non_opioid_ed,75_84,medium,3,item_drug_LISINOPRIL,drug,0.0441767126598834,0.0813478137696017,0.0070056115501651,True,False
non_opioid_ed,75_84,medium,4,item_drug_SIMVASTATIN,drug,0.03572486231868,0.0665522164323026,0.0048975082050573,True,False
non_opioid_ed,75_84,medium,5,item_drug_AZITHROMYCIN,drug,0.0283249103975633,0.0526580197832386,0.003991801011888,True,False
non_opioid_ed,75_84,medium,6,item_drug_ALPRAZOLAM,drug,0.0271773411289729,0.0512915042407626,0.0030631780171832,True,False
non_opioid_ed,75_84,medium,7,item_drug_LORAZEPAM,drug,0.0259290101981392,0.0488510442871686,0.0030069761091099,True,False
non_opioid_ed,75_84,medium,8,item_drug_LEVOFLOXACIN,drug,0.0147576651554433,0.0284394734903994,0.0010758568204871,True,False
non_opioid_ed,75_84,medium,9,item_drug_OMEPRAZOLE,drug,0.011140190550328,0.0211145927981798,0.0011657883024762,True,False
non_opioid_ed,75_84,medium,10,item_drug_FUROSEMIDE,drug,0.0101416239658667,0.019642450907396,0.0006407970243373,True,False
non_opioid_ed,75_84,medium,11,item_drug_ATENOLOL,drug,0.0060125719769271,0.0118181147408105,0.0002070292130437,True,False
non_opioid_ed,75_84,medium,12,item_drug_CEPHALEXIN,drug,0.004688197839002,0.0090745052653649,0.0003018904126391,True,False
non_opioid_ed,75_84,medium,13,item_drug_FINASTERIDE,drug,0.0022694474119947,0.0045037773731275,3.5117450861863336e-05,True,False
non_opioid_ed,75_84,medium,14,item_drug_AMOXICILLIN,drug,0.0010466368723363,0.0020822482327819,1.1025511890716962e-05,True,False
non_opioid_ed,75_84,medium,15,item_drug_GABAPENTIN,drug,0.000745058439504,0.0014780065520106,1.2110326997568852e-05,True,False
non_opioid_ed,75_84,medium,16,item_drug_PREDNISONE,drug,0.0004064999358173,0.0008118345482537,1.1653233808894216e-06,True,False
non_opioid_ed,75_84,medium,17,item_drug_CLOPIDOGREL,drug,0.0003124444749053,0.0006220959571295,2.792992681137863e-06,True,False
