feature,feature_type,n_bins,avg_rank,avg_combined,max_combined,avg_shap,avg_ffa
pgx_num_drugs,pgx,60,1.35,0.9584370693977246,0.9999999998867932,0.9657112515758054,0.9511628872196437
pgx_num_cpic_drugs,pgx,58,2.810344827586207,0.17146765949384357,0.8069147535575811,0.23317641238209516,0.10975890660559197
item_drug_AMOXICILLIN,drug,51,8.235294117647058,0.03168165066120166,0.1777297574010745,0.050343297469606356,0.013020003852796986
item_drug_PREDNISONE,drug,45,11.577777777777778,0.02790167806727494,0.2532425767474635,0.047551142074749767,0.008252214059800114
item_drug_AZITHROMYCIN,drug,44,7.7272727272727275,0.032765086051116464,0.1729496767345357,0.053720670202393614,0.011809501899839314
item_drug_CEPHALEXIN,drug,41,9.24390243902439,0.03729936058267744,0.3282666797345337,0.06042675356438399,0.014171967600970907
item_drug_OMEPRAZOLE,drug,40,11.675,0.018893715438840917,0.1596753305143175,0.030171888412572227,0.007615542465109597
item_drug_ALPRAZOLAM,drug,32,8.1875,0.03856968426698588,0.2383979053709797,0.059761159720119576,0.017378208813852186
item_drug_GABAPENTIN,drug,30,9.233333333333333,0.12099086375337012,0.9999999990863288,0.1322789721816891,0.10970275532505118
item_drug_LISINOPRIL,drug,27,6.888888888888889,0.030229221718512417,0.0791106267545883,0.05460233285231157,0.005856110584713287
item_drug_IBUPROFEN,drug,26,8.307692307692308,0.014660937004328757,0.0891673027190828,0.02367959284536513,0.0056422811632924
item_drug_METRONIDAZOLE,drug,26,11.538461538461538,0.014332935976521827,0.09483044831309,0.025985594900263073,0.0026802770527805855
item_drug_NAPROXEN,drug,22,12.818181818181818,0.0064025448184992315,0.029675539521616,0.011114354751866892,0.0016907348851316088
item_drug_FUROSEMIDE,drug,21,7.285714285714286,0.0632624658367414,0.216170724730202,0.11052066627739968,0.01600426539608312
item_drug_SIMVASTATIN,drug,21,9.666666666666666,0.021139948680360475,0.0916971983044129,0.03710745457902168,0.005172442781699276
item_drug_BENZONATATE,drug,20,15.85,0.015200784609363948,0.1328711019283142,0.023690705302316,0.0067108639164119065
item_drug_MELOXICAM,drug,20,12.75,0.00295499206428687,0.0169336397664219,0.005634180038734731,0.00027580408983904044
